Tue May 26 20:22:31 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.65.06              Driver Version: 580.65.06      CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100 80GB PCIe          Off |   00000000:81:00.0 Off |                    0 |
| N/A   29C    P0             44W /  300W |       0MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Device: cuda
Config: {'dataset': 'cifar10', 'num_classes': 10, 'label_fraction': 0.01, 'mode': 'full', 'lr': 0.003125, 'weight_decay': 0.0, 'momentum': 0.9, 'optimizer': 'sgd', 'epochs': 60, 'batch_size': 256, 'scheduler': 'cosine', 'warmup_epochs': 0, 'seed': 42, 'device': 'auto', 'num_workers': 2, 'output_dir': './checkpoints/finetune_outputs', 'run_name': ''}
Epoch   1/60 | train_loss=2.3008 train_acc=0.1367 | val_loss=2.2967 val_acc=0.1158 | 4.9s
Epoch   2/60 | train_loss=2.2843 train_acc=0.1445 | val_loss=2.2965 val_acc=0.1144 | 3.6s
Epoch   3/60 | train_loss=2.2915 train_acc=0.1367 | val_loss=2.2957 val_acc=0.1184 | 3.6s
Epoch   4/60 | train_loss=2.2874 train_acc=0.1328 | val_loss=2.2934 val_acc=0.1224 | 3.6s
Epoch   5/60 | train_loss=2.2792 train_acc=0.1641 | val_loss=2.2907 val_acc=0.1284 | 3.7s
Epoch   6/60 | train_loss=2.2797 train_acc=0.1719 | val_loss=2.2875 val_acc=0.1366 | 3.6s
Epoch   7/60 | train_loss=2.2705 train_acc=0.2070 | val_loss=2.2840 val_acc=0.1478 | 3.6s
Epoch   8/60 | train_loss=2.2613 train_acc=0.1914 | val_loss=2.2800 val_acc=0.1612 | 3.4s
Epoch   9/60 | train_loss=2.2578 train_acc=0.1914 | val_loss=2.2753 val_acc=0.1762 | 3.8s
Epoch  10/60 | train_loss=2.2511 train_acc=0.2383 | val_loss=2.2702 val_acc=0.1908 | 3.6s
Epoch  11/60 | train_loss=2.2338 train_acc=0.2891 | val_loss=2.2650 val_acc=0.2026 | 3.7s
Epoch  12/60 | train_loss=2.2308 train_acc=0.3086 | val_loss=2.2598 val_acc=0.2126 | 3.7s
Epoch  13/60 | train_loss=2.2229 train_acc=0.3359 | val_loss=2.2545 val_acc=0.2246 | 3.5s
Epoch  14/60 | train_loss=2.2200 train_acc=0.3281 | val_loss=2.2492 val_acc=0.2386 | 3.9s
Epoch  15/60 | train_loss=2.2037 train_acc=0.4141 | val_loss=2.2443 val_acc=0.2520 | 4.0s
Epoch  16/60 | train_loss=2.2041 train_acc=0.3672 | val_loss=2.2391 val_acc=0.2604 | 3.8s
Epoch  17/60 | train_loss=2.1934 train_acc=0.3750 | val_loss=2.2340 val_acc=0.2720 | 4.0s
Epoch  18/60 | train_loss=2.1872 train_acc=0.3906 | val_loss=2.2288 val_acc=0.2838 | 3.6s
Epoch  19/60 | train_loss=2.1780 train_acc=0.3984 | val_loss=2.2237 val_acc=0.2914 | 3.8s
Epoch  20/60 | train_loss=2.1577 train_acc=0.4727 | val_loss=2.2179 val_acc=0.3016 | 3.6s
Epoch  21/60 | train_loss=2.1532 train_acc=0.4688 | val_loss=2.2122 val_acc=0.3090 | 3.9s
Epoch  22/60 | train_loss=2.1530 train_acc=0.4453 | val_loss=2.2066 val_acc=0.3206 | 4.0s
Epoch  23/60 | train_loss=2.1483 train_acc=0.4492 | val_loss=2.2006 val_acc=0.3280 | 3.8s
Epoch  24/60 | train_loss=2.1320 train_acc=0.4805 | val_loss=2.1944 val_acc=0.3404 | 3.8s
Epoch  25/60 | train_loss=2.1184 train_acc=0.5039 | val_loss=2.1876 val_acc=0.3544 | 3.8s
Epoch  26/60 | train_loss=2.1059 train_acc=0.5000 | val_loss=2.1808 val_acc=0.3650 | 3.8s
Epoch  27/60 | train_loss=2.1150 train_acc=0.4766 | val_loss=2.1735 val_acc=0.3778 | 3.5s
Epoch  28/60 | train_loss=2.1081 train_acc=0.4492 | val_loss=2.1657 val_acc=0.3910 | 4.2s
Epoch  29/60 | train_loss=2.1019 train_acc=0.5000 | val_loss=2.1586 val_acc=0.4026 | 3.8s
Epoch  30/60 | train_loss=2.1139 train_acc=0.4688 | val_loss=2.1507 val_acc=0.4188 | 3.4s
Epoch  31/60 | train_loss=2.0728 train_acc=0.5391 | val_loss=2.1434 val_acc=0.4286 | 3.5s
Epoch  32/60 | train_loss=2.0811 train_acc=0.5000 | val_loss=2.1361 val_acc=0.4374 | 3.5s
Epoch  33/60 | train_loss=2.0738 train_acc=0.5078 | val_loss=2.1288 val_acc=0.4466 | 3.6s
Epoch  34/60 | train_loss=2.0856 train_acc=0.4961 | val_loss=2.1218 val_acc=0.4526 | 3.9s
Epoch  35/60 | train_loss=2.0772 train_acc=0.5078 | val_loss=2.1149 val_acc=0.4624 | 3.5s
Epoch  36/60 | train_loss=2.0583 train_acc=0.5391 | val_loss=2.1087 val_acc=0.4698 | 3.6s
Epoch  37/60 | train_loss=2.0664 train_acc=0.5742 | val_loss=2.1026 val_acc=0.4778 | 4.0s
Epoch  38/60 | train_loss=2.0563 train_acc=0.5742 | val_loss=2.0975 val_acc=0.4846 | 4.4s
Epoch  39/60 | train_loss=2.0531 train_acc=0.5703 | val_loss=2.0928 val_acc=0.4884 | 3.9s
Epoch  40/60 | train_loss=2.0381 train_acc=0.5859 | val_loss=2.0886 val_acc=0.4916 | 3.6s
Epoch  41/60 | train_loss=2.0518 train_acc=0.5469 | val_loss=2.0846 val_acc=0.4948 | 3.4s
Epoch  42/60 | train_loss=2.0495 train_acc=0.5391 | val_loss=2.0811 val_acc=0.4962 | 3.7s
Epoch  43/60 | train_loss=2.0430 train_acc=0.5820 | val_loss=2.0780 val_acc=0.5008 | 3.8s
Epoch  44/60 | train_loss=2.0475 train_acc=0.5703 | val_loss=2.0754 val_acc=0.5032 | 3.8s
Epoch  45/60 | train_loss=2.0396 train_acc=0.5664 | val_loss=2.0733 val_acc=0.5062 | 3.4s
Epoch  46/60 | train_loss=2.0326 train_acc=0.5742 | val_loss=2.0714 val_acc=0.5096 | 3.7s
Epoch  47/60 | train_loss=2.0272 train_acc=0.6172 | val_loss=2.0695 val_acc=0.5102 | 3.7s
Epoch  48/60 | train_loss=2.0332 train_acc=0.5625 | val_loss=2.0684 val_acc=0.5104 | 3.7s
Epoch  49/60 | train_loss=2.0330 train_acc=0.5508 | val_loss=2.0673 val_acc=0.5090 | 3.6s
Epoch  50/60 | train_loss=2.0347 train_acc=0.5625 | val_loss=2.0662 val_acc=0.5088 | 3.7s
Epoch  51/60 | train_loss=2.0238 train_acc=0.5625 | val_loss=2.0655 val_acc=0.5090 | 3.6s
Epoch  52/60 | train_loss=2.0357 train_acc=0.5430 | val_loss=2.0647 val_acc=0.5076 | 3.4s
Epoch  53/60 | train_loss=2.0230 train_acc=0.5938 | val_loss=2.0644 val_acc=0.5082 | 3.4s
Epoch  54/60 | train_loss=2.0245 train_acc=0.5859 | val_loss=2.0641 val_acc=0.5064 | 3.7s
Epoch  55/60 | train_loss=2.0304 train_acc=0.5703 | val_loss=2.0638 val_acc=0.5082 | 3.5s
Epoch  56/60 | train_loss=2.0289 train_acc=0.5938 | val_loss=2.0639 val_acc=0.5074 | 3.7s
Epoch  57/60 | train_loss=2.0319 train_acc=0.6133 | val_loss=2.0638 val_acc=0.5080 | 3.3s
Epoch  58/60 | train_loss=2.0307 train_acc=0.5859 | val_loss=2.0640 val_acc=0.5072 | 3.5s
Epoch  59/60 | train_loss=2.0365 train_acc=0.5391 | val_loss=2.0637 val_acc=0.5074 | 3.5s
Epoch  60/60 | train_loss=2.0284 train_acc=0.5977 | val_loss=2.0637 val_acc=0.5074 | 3.7s

Best val accuracy: 0.5104
Best checkpoint:   checkpoints/finetune_outputs/cifar10_full_frac0.01_seed42_best.pt
