Tue May 26 20:47:29 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.65.06              Driver Version: 580.65.06      CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100 80GB PCIe          Off |   00000000:81:00.0 Off |                    0 |
| N/A   32C    P0             44W /  300W |       0MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Device: cuda
Config: {'dataset': 'cifar10', 'num_classes': 10, 'label_fraction': 0.01, 'mode': 'full', 'lr': 0.003125, 'weight_decay': 0.0, 'momentum': 0.9, 'optimizer': 'sgd', 'epochs': 60, 'batch_size': 256, 'scheduler': 'cosine', 'warmup_epochs': 0, 'seed': 42, 'device': 'auto', 'num_workers': 0, 'output_dir': './checkpoints/finetune_outputs', 'run_name': ''}
Loading model...
Model loaded
Loading data...
Data loaded
Epoch   1/60 | train_loss=2.2996 train_acc=0.1289 | val_loss=2.2968 val_acc=0.1156 | 5.5s
Epoch   2/60 | train_loss=2.2897 train_acc=0.1641 | val_loss=2.2966 val_acc=0.1140 | 5.0s
Epoch   3/60 | train_loss=2.2756 train_acc=0.1797 | val_loss=2.2958 val_acc=0.1164 | 5.0s
Epoch   4/60 | train_loss=2.2888 train_acc=0.1523 | val_loss=2.2933 val_acc=0.1196 | 5.0s
Epoch   5/60 | train_loss=2.2869 train_acc=0.1289 | val_loss=2.2906 val_acc=0.1256 | 4.9s
Epoch   6/60 | train_loss=2.2755 train_acc=0.1875 | val_loss=2.2876 val_acc=0.1342 | 4.9s
Epoch   7/60 | train_loss=2.2627 train_acc=0.1875 | val_loss=2.2840 val_acc=0.1456 | 4.9s
Epoch   8/60 | train_loss=2.2753 train_acc=0.1484 | val_loss=2.2799 val_acc=0.1616 | 4.9s
Epoch   9/60 | train_loss=2.2519 train_acc=0.2422 | val_loss=2.2752 val_acc=0.1736 | 4.9s
Epoch  10/60 | train_loss=2.2472 train_acc=0.2734 | val_loss=2.2701 val_acc=0.1866 | 4.9s
Epoch  11/60 | train_loss=2.2389 train_acc=0.2852 | val_loss=2.2650 val_acc=0.1934 | 4.9s
Epoch  12/60 | train_loss=2.2331 train_acc=0.3125 | val_loss=2.2595 val_acc=0.2034 | 5.1s
Epoch  13/60 | train_loss=2.2246 train_acc=0.3086 | val_loss=2.2543 val_acc=0.2120 | 4.9s
Epoch  14/60 | train_loss=2.2132 train_acc=0.3906 | val_loss=2.2488 val_acc=0.2192 | 4.9s
Epoch  15/60 | train_loss=2.2091 train_acc=0.3242 | val_loss=2.2436 val_acc=0.2282 | 4.9s
Epoch  16/60 | train_loss=2.2060 train_acc=0.3438 | val_loss=2.2384 val_acc=0.2418 | 4.9s
Epoch  17/60 | train_loss=2.1973 train_acc=0.3789 | val_loss=2.2332 val_acc=0.2540 | 4.9s
Epoch  18/60 | train_loss=2.1831 train_acc=0.4102 | val_loss=2.2279 val_acc=0.2718 | 4.9s
Epoch  19/60 | train_loss=2.1828 train_acc=0.4023 | val_loss=2.2226 val_acc=0.2820 | 5.0s
Epoch  20/60 | train_loss=2.1718 train_acc=0.4297 | val_loss=2.2173 val_acc=0.2994 | 5.0s
Epoch  21/60 | train_loss=2.1618 train_acc=0.4414 | val_loss=2.2118 val_acc=0.3132 | 4.9s
Epoch  22/60 | train_loss=2.1433 train_acc=0.4922 | val_loss=2.2062 val_acc=0.3278 | 4.9s
Epoch  23/60 | train_loss=2.1524 train_acc=0.4609 | val_loss=2.2000 val_acc=0.3462 | 4.9s
Epoch  24/60 | train_loss=2.1325 train_acc=0.5000 | val_loss=2.1939 val_acc=0.3590 | 4.9s
Epoch  25/60 | train_loss=2.1253 train_acc=0.5000 | val_loss=2.1872 val_acc=0.3716 | 4.9s
Epoch  26/60 | train_loss=2.1243 train_acc=0.4844 | val_loss=2.1801 val_acc=0.3876 | 5.0s
Epoch  27/60 | train_loss=2.1049 train_acc=0.5312 | val_loss=2.1727 val_acc=0.4008 | 5.0s
Epoch  28/60 | train_loss=2.1042 train_acc=0.5391 | val_loss=2.1655 val_acc=0.4138 | 4.9s
Epoch  29/60 | train_loss=2.0990 train_acc=0.5078 | val_loss=2.1582 val_acc=0.4272 | 4.9s
Epoch  30/60 | train_loss=2.0917 train_acc=0.5273 | val_loss=2.1506 val_acc=0.4368 | 4.9s
Epoch  31/60 | train_loss=2.0873 train_acc=0.5664 | val_loss=2.1428 val_acc=0.4460 | 4.9s
Epoch  32/60 | train_loss=2.0831 train_acc=0.5234 | val_loss=2.1349 val_acc=0.4552 | 5.0s
Epoch  33/60 | train_loss=2.0826 train_acc=0.5273 | val_loss=2.1272 val_acc=0.4612 | 4.9s
Epoch  34/60 | train_loss=2.0768 train_acc=0.5508 | val_loss=2.1206 val_acc=0.4660 | 4.9s
Epoch  35/60 | train_loss=2.0746 train_acc=0.5586 | val_loss=2.1135 val_acc=0.4736 | 4.9s
Epoch  36/60 | train_loss=2.0621 train_acc=0.5469 | val_loss=2.1073 val_acc=0.4794 | 5.0s
Epoch  37/60 | train_loss=2.0541 train_acc=0.5664 | val_loss=2.1020 val_acc=0.4818 | 4.9s
Epoch  38/60 | train_loss=2.0656 train_acc=0.5352 | val_loss=2.0966 val_acc=0.4860 | 4.9s
Epoch  39/60 | train_loss=2.0619 train_acc=0.5586 | val_loss=2.0914 val_acc=0.4932 | 4.9s
Epoch  40/60 | train_loss=2.0488 train_acc=0.5781 | val_loss=2.0869 val_acc=0.4966 | 5.0s
Epoch  41/60 | train_loss=2.0420 train_acc=0.5781 | val_loss=2.0829 val_acc=0.5012 | 5.0s
Epoch  42/60 | train_loss=2.0431 train_acc=0.5703 | val_loss=2.0794 val_acc=0.5040 | 4.9s
Epoch  43/60 | train_loss=2.0527 train_acc=0.5430 | val_loss=2.0765 val_acc=0.5086 | 5.0s
Epoch  44/60 | train_loss=2.0540 train_acc=0.5430 | val_loss=2.0742 val_acc=0.5080 | 4.9s
Epoch  45/60 | train_loss=2.0349 train_acc=0.6055 | val_loss=2.0717 val_acc=0.5108 | 5.2s
Epoch  46/60 | train_loss=2.0290 train_acc=0.5898 | val_loss=2.0698 val_acc=0.5146 | 5.0s
Epoch  47/60 | train_loss=2.0338 train_acc=0.5703 | val_loss=2.0682 val_acc=0.5150 | 4.9s
Epoch  48/60 | train_loss=2.0456 train_acc=0.5664 | val_loss=2.0670 val_acc=0.5144 | 4.9s
Epoch  49/60 | train_loss=2.0222 train_acc=0.6055 | val_loss=2.0661 val_acc=0.5150 | 5.0s
Epoch  50/60 | train_loss=2.0307 train_acc=0.5781 | val_loss=2.0648 val_acc=0.5152 | 4.9s
Epoch  51/60 | train_loss=2.0355 train_acc=0.5820 | val_loss=2.0642 val_acc=0.5148 | 4.9s
Epoch  52/60 | train_loss=2.0281 train_acc=0.5938 | val_loss=2.0633 val_acc=0.5152 | 4.9s
Epoch  53/60 | train_loss=2.0259 train_acc=0.6406 | val_loss=2.0628 val_acc=0.5162 | 4.9s
Epoch  54/60 | train_loss=2.0280 train_acc=0.6016 | val_loss=2.0624 val_acc=0.5142 | 4.9s
Epoch  55/60 | train_loss=2.0287 train_acc=0.5859 | val_loss=2.0623 val_acc=0.5118 | 4.9s
Epoch  56/60 | train_loss=2.0211 train_acc=0.6094 | val_loss=2.0619 val_acc=0.5118 | 4.9s
Epoch  57/60 | train_loss=2.0260 train_acc=0.5938 | val_loss=2.0624 val_acc=0.5110 | 5.0s
Epoch  58/60 | train_loss=2.0235 train_acc=0.6250 | val_loss=2.0626 val_acc=0.5110 | 4.9s
Epoch  59/60 | train_loss=2.0355 train_acc=0.5938 | val_loss=2.0628 val_acc=0.5098 | 4.9s
Epoch  60/60 | train_loss=2.0213 train_acc=0.6172 | val_loss=2.0628 val_acc=0.5112 | 4.9s

Best val accuracy: 0.5162
Best checkpoint:   checkpoints/finetune_outputs/cifar10_full_frac0.01_seed42_best.pt
